instructions,input,output
"Does the University of Westminster offer a course on AI, Data and Communication MA?","Course title: AI, Data and Communication MA, Collage: University of Westminster, Campus: Harrow, North-West London. For full-time course: UK fees is £9,700 and international fees is £17,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma. For Part-time course: UK fees is £1,125, International fees is £1,985. Duration of the course is 2 years, link: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma.","Yes, University of Westminster provides a course on AI, Data and Communication MA:
Course title: AI, Data and Communication MA.
Campus: Harrow, North-West London.
For full-time course:
UK fees:£9,700.
international fees: £17,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma
For Part-time course:
UK fees: £1,125.
international fees: £1,985.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma "
Does the University of Westminster offer a course on Accounting BSc Honours?,"Course title: Accounting BSc Honours, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours.","Yes, University of Westminster provides a course on Accounting BSc Honours:
Course title: Accounting BSc Honours.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours"
Does the University of Westminster offer a course on Accounting and Business Management BA Honours?,"Course title: Accounting and Business Management BA Honours, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/accounting-and-finance-business-and-management-courses/2025-26/september/full-time/accounting-and-business-management-ba-honours.","Yes, University of Westminster provides a course on Accounting and Business Management BA Honours:
Course title: Accounting and Business Management BA Honours.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-business-and-management-courses/2025-26/september/full-time/accounting-and-business-management-ba-honours"
Does the University of Westminster offer a course on Air Transport Planning and Management MSc?,"Course title: Air Transport Planning and Management MSc, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,700 and international fees is £15,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/full-time/air-transport-planning-and-management-msc. New release of course is available at: https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/block-release/air-transport-planning-and-management-msc","Yes, University of Westminster provides a course on Air Transport Planning and Management MSc:
Course title: Air Transport Planning and Management MSc.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,700.
international fees: £15,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/full-time/air-transport-planning-and-management-msc
Check this for new release:
 https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/block-release/air-transport-planning-and-management-msc"
Does the University of Westminster offer a course on Animation BA Honours?,"Course title: Animation BA Honours, Collage: University of Westminster, Campus: Harrow, North-West London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/art-design-and-visual-culture-film-and-television-media-and-communication-courses/2025-26/september/full-time/animation-ba-honours.","Yes, University of Westminster provides a course on Animation BA Honours:
Course title: Animation BA Honours.
Campus: Harrow, North-West London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-film-and-television-media-and-communication-courses/2025-26/september/full-time/animation-ba-honours"
Does the University of Westminster offer a course on Animation with Foundation BA Honours?,"Course title: Animation with Foundation BA Honours, Collage: University of Westminster, Campus: Harrow, North-West London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 4 or 5 years, link: https://www.westminster.ac.uk/art-design-and-visual-culture-film-and-television-media-and-communication-courses/2025-26/september/full-time/animation-with-foundation-ba-honours.","Yes, University of Westminster provides a course on Animation with Foundation BA Honours:
Course title: Animation with Foundation BA Honours.
Campus: Harrow, North-West London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 4 or 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-film-and-television-media-and-communication-courses/2025-26/september/full-time/animation-with-foundation-ba-honours"
Does the University of Westminster offer a course on Applied Biomedical Science BSc Honours?,"Course title: Applied Biomedical Science BSc Honours, Collage: University of Westminster,Campus: Cavendish, Central London For Part-time course: UK fees is £1,540, International fees is £2,830. Duration of the course is 4 years, link: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day-release/applied-biomedical-science-bsc-honours.","Yes, University of Westminster provides a course on Applied Biomedical Science BSc Honours:
Course title: Applied Biomedical Science BSc Honours.
Campus: Cavendish, Central London.

For Part-time course:
UK fees: £1,540.
international fees: £2,830.
The duration of the course is 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day-release/applied-biomedical-science-bsc-honours "
Does the University of Westminster offer a course on Applied Biotechnology MSc?,"Course title: Applied Biotechnology MSc, Collage: University of Westminster, Campus: Cavendish, Central London. For full-time course: UK fees is £10,700 and international fees is £17,600. Duration of the course is 1 year, link: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/applied-biotechnology-msc.","Yes, University of Westminster provides a course on Applied Biotechnology MSc:
Course title: Applied Biotechnology MSc.
Campus: Cavendish, Central London.
For full-time course:
UK fees:£10,700.
international fees: £17,600.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/applied-biotechnology-msc"
Does the University of Westminster offer a course on Arabic and English BA Honours?,"Course title: Arabic and English BA Honours, Collage: University of Westminster, Campus: Regent, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/full-time/arabic-and-english-ba-honours. For Part-time course: UK fees is £1,540, International fees is £2,830. Duration of the course is 5 years, link: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/arabic-and-english-ba-honours.","Yes, University of Westminster provides a course on Arabic and English BA Honours:
Course title: Arabic and English BA Honours.
Campus: Regent, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/full-time/arabic-and-english-ba-honours
For Part-time course:
UK fees: £1,540.
international fees: £2,830.
The duration of the course is 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/arabic-and-english-ba-honours "
Does the University of Westminster offer a course on Arabic and International Business BA Honours?,"Course title: Arabic and International Business BA Honours, Collage: University of Westminster, Campus: Regent, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/business-and-management-languages-courses/2025-26/september/full-time/arabic-and-international-business-ba-honours.","Yes, University of Westminster provides a course on Arabic and International Business BA Honours:
Course title: Arabic and International Business BA Honours.
Campus: Regent, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/business-and-management-languages-courses/2025-26/september/full-time/arabic-and-international-business-ba-honours"
