conversations
"[{'content': 'Does the University of Westminster offer a course on AI, Data and Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on AI, Data and Communication MA:\nCourse title: AI, Data and Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Accounting BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Accounting BSc Honours:\nCourse title: Accounting BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Accounting and Business Management BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Accounting and Business Management BA Honours:\nCourse title: Accounting and Business Management BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-business-and-management-courses/2025-26/september/full-time/accounting-and-business-management-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Air Transport Planning and Management MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Air Transport Planning and Management MSc:\nCourse title: Air Transport Planning and Management MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/full-time/air-transport-planning-and-management-msc\nCheck this for new release:\n https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/block-release/air-transport-planning-and-management-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Animation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Animation BA Honours:\nCourse title: Animation BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-film-and-television-media-and-communication-courses/2025-26/september/full-time/animation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Animation with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Animation with Foundation BA Honours:\nCourse title: Animation with Foundation BA Honours.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-film-and-television-media-and-communication-courses/2025-26/september/full-time/animation-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Applied Biomedical Science BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Applied Biomedical Science BSc Honours:\nCourse title: Applied Biomedical Science BSc Honours.\nCampus: Cavendish, Central London.\n\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day-release/applied-biomedical-science-bsc-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Applied Biotechnology MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Applied Biotechnology MSc:\nCourse title: Applied Biotechnology MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,600.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/applied-biotechnology-msc', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Arabic and English BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Arabic and English BA Honours:\nCourse title: Arabic and English BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/english-and-creative-writing-languages-courses/2025-26/september/full-time/arabic-and-english-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/arabic-and-english-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Arabic and International Business BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Arabic and International Business BA Honours:\nCourse title: Arabic and International Business BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-languages-courses/2025-26/september/full-time/arabic-and-international-business-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Arabic and International Communication BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Arabic and International Communication BA Honours:\nCourse title: Arabic and International Communication BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-international-communication-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Arabic and International Communication with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Arabic and International Communication with Foundation BA Honours:\nCourse title: Arabic and International Communication with Foundation BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-international-communication-with-foundation-ba-honours', 'role': 'assistant'}]"
