Page title,UK Fees,International Fees,Duration,Campus,description,Url
"Applied Biotechnology MSc - Courses | University of Westminster, London","£10,700","£17,600",1 year,"Cavendish, Central London","Our Applied Biotechnology MSc includes a wide range of modern molecular biology techniques and explores how biotechnology can be used by today's society. It is an established course in biotechnology which has been extensively updated. You'll complement your theoretical studies with hands-on experience of fully controlled fermenters that are up to pilot-plant scale, and are linked to modern monitoring and control systems.",https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/applied-biotechnology-msc
"Architecture and Environmental Design MSc - Courses | University of Westminster, London","£11,700","£15,500",1 year,"Marylebone, Central London","The global environmental and energy challenge facing current and future generations of architects and building professionals calls for a deeper understanding of the principles of environmental design, and their effective application into architectural practice worldwide. Over the last decades environmental design as a subject area has developed, responding to new research and experimentation, both in academia and in practice. However, buildings claiming to be environmentally conscious do not perform to the expected standards, still heavily contributing to global CO",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-msc
"Interior Architecture MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Marylebone, Central London","Our Interior Architecture MA promotes a speculative approach to spatial design that is rooted in theory and the world of ideas. Those ideas, however, are deployed to confront contemporary questions and challenges. This MA course, therefore, is both conceptual and pragmatic; experimental and rigorous. With a special focus on people and place, the course will encourage you to develop a deep sympathy for the needs and aspirations of the users of a space, as well as a sensitivity towards (and response to) physical and social contexts.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/interior-architecture-ma
"Master of Architecture (MArch) (RIBA pt II) - Courses | University of Westminster, London","£9,700","£15,500",2 years,"Marylebone, Central London","The Master of Architecture (MArch) (RIBA pt II) is a long-established and well-respected course that is prescribed by the Architects Registration Board (ARB) and validated by the Royal Institute of British Architects (RIBA) to give exemption from the second stage of professional education. The emphasis of the course is on innovative design work, and on developing a caring and critical approach to the study and practice of architecture.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/master-of-architecture-march-riba-pt-ii
"Interactive Media Practice MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Harrow, North-West London","This exciting multidisciplinary Master's course is fully designed to reflect the needs of contemporary interactive media industries, bringing together creative technologies, interactivity, design practices and entrepreneurship with the user in mind.",https://www.westminster.ac.uk/art-design-and-visual-culture-computer-science-and-engineering-media-and-communication-courses/2025-26/september/full-time/interactive-media-practice-ma
"Air Transport Planning and Management MSc - Courses | University of Westminster, London","£1,125","£1,785",2 years,"Marylebone, Central London","This course has been developed to meet the needs of graduates worldwide seeking to gain greater knowledge and experience of the air transport industry, and looking to progress into senior roles in management, operations and commercial planning of airlines, airports, government departments and aviation-related businesses such as aircraft manufacturing, finance and consultancy. It is designed to provide a strong theoretical and analytical basis, coupled with the application of many practical techniques and strategies.",https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/block-release/air-transport-planning-and-management-msc
"Teaching English to Speakers of Other Languages (TESOL) MA - Courses | University of Westminster, London","£10,000","£10,000",1 year,"Regent, Central London",Building on the success of our onsite,https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/open-distance-learning-full-time/teaching-english-to-speakers-of-other-languages-tesol-ma
"Biomedical Science MSc - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Cavendish, Central London","The Biomedical Science MSc lets you tailor your course to your interests and experience with a wide range of optional modules in addition to our core delivery. You can mix modules in microbiology, molecular biology, haematology, clinical chemistry, or blend basic science with studies in science communication or commercialization. This flexibility allows you to deepen your understanding of human diseases, their investigation, and therapy, while also enhancing your skills in designing and executing project work.",https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biomedical-science-msc
"Air Transport Planning and Management MSc - Courses | University of Westminster, London","£9,700","£15,500",1 year,"Marylebone, Central London","This course has been developed to meet the needs of graduates worldwide seeking to gain greater knowledge and experience of the air transport industry, and looking to progress into senior roles in management, operations and commercial planning of airlines, airports, government departments and aviation-related businesses such as aircraft manufacturing, finance and consultancy. It is designed to provide a strong theoretical and analytical basis, coupled with the application of many practical techniques and strategies.",https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/full-time/air-transport-planning-and-management-msc
"Human Resource Management MA - Courses | University of Westminster, London","£5,750","£7,000",2 years,"Marylebone, Central London","In a turbulent, rapidly changing business environment, the demand for HR professionals who can strategically manage and develop staff potential – while overcoming issues such as redundancy, flexible working and the recent challenges of furloughed staff and social distancing – has never been more fundamental to business success.",https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/part-time-evening-only/human-resource-management-ma
"Corporate Finance Law LLM - Courses | University of Westminster, London","£12,700","£17,500",1 year,"Regent, Central London","Knowledge of corporate finance law is essential for lawyers, bankers and financiers who are keen to develop professional skills in corporate fundraising, deal structures and transactional management. Our Corporate Finance Law LLM offers an enhanced qualification for professionals working or planning to work in a technically demanding and dynamic global industry. It will appeal to both recent graduates and practitioners considering various fields of work, including law, investment banking, corporate finance, private equity, securities, investments, financial regulation, government agencies and international financial authorities.",https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/corporate-finance-law-llm
"Event Design and Management MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Marylebone, Central London","Events play an essential role in the business, cultural and sporting life of all countries. In recent years an exciting new profession has emerged with event planners designing and organising a diverse range of events, and marketing the great variety of destinations and venues in which they take place.",https://www.westminster.ac.uk/tourism-and-events-management-courses/2025-26/september/full-time/event-design-and-management-ma
"Construction Project Management MSc - Courses | University of Westminster, London","£14,700","£17,500",1 year,"Marylebone, Central London","Despite turbulence in the global economy, the construction industry continues to grow with revenue expected to reach US$15 trillion by 2025. Specialist project managers are in high demand to help negotiate projects through the inevitable hurdles that can arise due to a host of issues ranging from time constraints and safety and workforce considerations to legal issues, government regulations and environmental concerns.",https://www.westminster.ac.uk/construction-surveying-and-real-estate-courses/2025-26/september/full-time/construction-project-management-msc
"Audio Production MA - Courses | University of Westminster, London","£10,700","£15,500",1 year,"Harrow, North-West London","The Audio Production MA is a well-established course (running for over 20 years), producing numerous graduates who've gone on to enjoy successful careers in the music and creative industries. This Master's programme is accredited by JAMES (consortium of music, entertainment and media industry organisations in the support of education and promotion of excellence). The course is designed to meet and exceed professional standards and will enable you to reach the highest level in the creative use of audio, and explore how creative ideas and new technologies can be combined, enhanced and redefined.",https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/audio-production-ma
"Business and Organisational Psychology MSc - Courses | University of Westminster, London","£12,700","£15,000",1 year,"Marylebone, Central London","In a rapidly changing business environment, the demand for business psychology graduates that can meet the needs of industry with the right skill set, knowledge base and work-ready attitude has never been more important.",https://www.westminster.ac.uk/business-and-management-psychology-courses/2025-26/september/full-time/business-and-organisational-psychology-msc
"Communication MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Harrow, North-West London","The Communication MA gives you an in-depth critical understanding of digital and traditional media, and the many different factors that shape communication and mass media – providing you with a distinctive competitive edge in the creative industries careers market.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/communication-ma
"Global Criminology MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Regent, Central London","The Global Criminology MA is designed to develop your knowledge and critical understanding of criminology as an interdisciplinary subject that incorporates legal, political and psychological, as well as social scientific approaches to the study of crime, deviance, criminal and social justice.",https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/full-time/global-criminology-ma
"Cyber Security and Forensics MSc - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Cavendish, Central London","Our Cyber Security and Forensics MSc has been designed with a high degree of relevance to the industry’s needs. This course is also fully certified by the National Cyber Security Centre (NCSC), which is a sign of national excellence.",https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/full-time/cyber-security-and-forensics-msc
"Creative Writing: Writing the City MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Regent, Central London","The Creative Writing: Writing the City MA is the only Creative Writing MA course to focus entirely on the city of London. It will allow you to explore the city as subject matter from a range of perspectives and across all genres. It will also give you a theoretical and practical platform from which to develop your understanding, and become part of the London writing scene.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/creative-writing-writing-the-city-ma
"AI, Data and Communication MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Harrow, North-West London","It is estimated that there will be 97 million data-related jobs by 2025, and many of these will require employees with strong analytical and communication skills who are able to connect data with the needs of an ever-growing range of sectors.",https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma
